Rank,Title,Year,Rating,Genre,Runtime,URL,Director
19,One Flew Over the Cuckoo's Nest,1975,8.7,"Medical Drama, Psychological Drama, Drama",2 hours 13 minutes,https://www.imdb.com/title/tt0073486/?ref_=chttp_i_19,Milos Forman
20,Se7en,1995,8.6,"Cop Drama, Hard-boiled Detective, Legal Drama",2 hours 7 minutes,https://www.imdb.com/title/tt0114369/?ref_=chttp_i_20,David Fincher
21,It's a Wonderful Life,1946,8.6,"Feel-Good Romance, Holiday Family, Holiday Romance",2 hours 10 minutes,https://www.imdb.com/title/tt0038650/?ref_=chttp_i_21,Frank Capra
22,The Silence of the Lambs,1991,8.6,"Police Procedural, Psychological Drama, Psychological Horror",1 hour 58 minutes,https://www.imdb.com/title/tt0102926/?ref_=chttp_i_22,Jonathan Demme
23,Seven Samurai,1954,8.6,"Action Epic, Epic, Period Drama",3 hours 27 minutes,https://www.imdb.com/title/tt0047478/?ref_=chttp_i_23,Akira Kurosawa
24,Saving Private Ryan,1998,8.6,"Epic, Period Drama, War Epic",2 hours 49 minutes,https://www.imdb.com/title/tt0120815/?ref_=chttp_i_24,Steven Spielberg
25,City of God,2002,8.6,"Caper, Coming-of-Age, Gangster",2 hours 10 minutes,https://www.imdb.com/title/tt0317248/?ref_=chttp_i_25,Fernando Meirelles
26,The Green Mile,1999,8.6,"Period Drama, Prison Drama, Supernatural Fantasy",3 hours 9 minutes,https://www.imdb.com/title/tt0120689/?ref_=chttp_i_26,Frank Darabont
27,Life Is Beautiful,1997,8.6,"Period Drama, Romantic Comedy, Tragedy",1 hour 56 minutes,https://www.imdb.com/title/tt0118799/?ref_=chttp_i_27,Roberto Benigni
28,Terminator 2: Judgment Day,1991,8.6,"Action Epic, Artificial Intelligence, Cyberpunk",2 hours 17 minutes,https://www.imdb.com/title/tt0103064/?ref_=chttp_i_28,James Cameron
29,Star Wars: Episode IV - A New Hope,1977,8.6,"Action Epic, Adventure Epic, Dystopian Sci-Fi",2 hours 1 minute,https://www.imdb.com/title/tt0076759/?ref_=chttp_i_29,George Lucas
30,Back to the Future,1985,8.5,"High-Concept Comedy, Teen Adventure, Teen Comedy",1 hour 56 minutes,https://www.imdb.com/title/tt0088763/?ref_=chttp_i_30,Robert Zemeckis
31,Spirited Away,2001,8.6,"Anime, Coming-of-Age, Fairy Tale",2 hours 4 minutes,https://www.imdb.com/title/tt0245429/?ref_=chttp_i_31,Hayao Miyazaki
32,The Pianist,2002,8.5,"Docudrama, Epic, Period Drama",2 hours 30 minutes,https://www.imdb.com/title/tt0253474/?ref_=chttp_i_32,Roman Polanski
33,Gladiator,2000,8.5,"Action Epic, Adventure Epic, Epic",2 hours 35 minutes,https://www.imdb.com/title/tt0172495/?ref_=chttp_i_33,Ridley Scott
34,Parasite,2019,8.5,"Dark Comedy, Korean Drama, Psychological Thriller",2 hours 12 minutes,https://www.imdb.com/title/tt6751668/?ref_=chttp_i_34,Bong Joon Ho
35,Psycho,1960,8.5,"Dark Comedy, Psychological Horror, Psychological Thriller",1 hour 49 minutes,https://www.imdb.com/title/tt0054215/?ref_=chttp_i_35,Alfred Hitchcock
36,The Lion King,1994,8.5,"Animal Adventure, Coming-of-Age, Hand-Drawn Animation",1 hour 28 minutes,https://www.imdb.com/title/tt0110357/?ref_=chttp_i_36,Roger Allers
37,Grave of the Fireflies,1988,8.5,"Adult Animation, Anime, Hand-Drawn Animation",1 hour 28 minutes,https://www.imdb.com/title/tt0095327/?ref_=chttp_i_37,Isao Takahata
38,The Departed,2006,8.5,"Cop Drama, Epic, Gangster",2 hours 31 minutes,https://www.imdb.com/title/tt0407887/?ref_=chttp_i_38,Martin Scorsese
39,Whiplash,2014,8.5,"Psychological Drama, Drama, Music",1 hour 46 minutes,https://www.imdb.com/title/tt2582802/?ref_=chttp_i_39,Damien Chazelle
40,Harakiri,1962,8.6,"Period Drama, Drama, Mystery",2 hours 13 minutes,https://www.imdb.com/title/tt0056058/?ref_=chttp_i_40,Masaki Kobayashi
41,American History X,1998,8.5,"Prison Drama, Tragedy, Crime",1 hour 59 minutes,https://www.imdb.com/title/tt0120586/?ref_=chttp_i_41,Tony Kaye
42,The Prestige,2006,8.5,"Period Drama, Steampunk, Tragedy",2 hours 10 minutes,https://www.imdb.com/title/tt0482571/?ref_=chttp_i_42,Christopher Nolan
43,Léon: The Professional,1994,8.5,"Gangster, One-Person Army Action, Action",1 hour 50 minutes,https://www.imdb.com/title/tt0110413/?ref_=chttp_i_43,Luc Besson
44,Spider-Man: Across the Spider-Verse,2023,8.5,"Computer Animation, Superhero, Supernatural Fantasy",2 hours 20 minutes,https://www.imdb.com/title/tt9362722/?ref_=chttp_i_44,Joaquim Dos Santos
45,Casablanca,1942,8.5,"Psychological Drama, Drama, Romance",1 hour 42 minutes,https://www.imdb.com/title/tt0034583/?ref_=chttp_i_45,Michael Curtiz
46,The Usual Suspects,1995,8.5,"Caper, Gangster, Heist",1 hour 46 minutes,https://www.imdb.com/title/tt0114814/?ref_=chttp_i_46,Bryan Singer
47,The Intouchables,2011,8.5,"Docudrama, Comedy, Drama",1 hour 52 minutes,https://www.imdb.com/title/tt1675434/?ref_=chttp_i_47,Olivier Nakache
48,Cinema Paradiso,1988,8.5,"Coming-of-Age, Drama, Romance",2 hours 54 minutes,https://www.imdb.com/title/tt0095765/?ref_=chttp_i_48,Giuseppe Tornatore
49,Alien,1979,8.5,"Alien Invasion, Cyberpunk, Monster Horror",1 hour 57 minutes,https://www.imdb.com/title/tt0078748/?ref_=chttp_i_49,Charles Chaplin
50,Modern Times,1936,8.5,"Romantic Comedy, Satire, Slapstick",1 hour 27 minutes,https://www.imdb.com/title/tt0027977/?ref_=chttp_i_50,Ridley Scott
51,Rear Window,1954,8.5,"Psychological Thriller, Suspense Mystery, Drama",1 hour 52 minutes,https://www.imdb.com/title/tt0047396/?ref_=chttp_i_51,Alfred Hitchcock
52,Once Upon a Time in the West,1968,8.5,"Desert Adventure, Epic, Spaghetti Western",2 hours 46 minutes,https://www.imdb.com/title/tt0064116/?ref_=chttp_i_52,Sergio Leone
53,Django Unchained,2012,8.5,"Dark Comedy, Epic, One-Person Army Action",2 hours 45 minutes,https://www.imdb.com/title/tt1853728/?ref_=chttp_i_53,Quentin Tarantino
54,City Lights,1931,8.5,"Feel-Good Romance, Romantic Comedy, Satire",1 hour 27 minutes,https://www.imdb.com/title/tt0021749/?ref_=chttp_i_54,Charles Chaplin
55,Apocalypse Now,1979,8.4,"Adventure Epic, Epic, Hard-boiled Detective",2 hours 27 minutes,https://www.imdb.com/title/tt0078788/?ref_=chttp_i_55,Francis Ford Coppola
56,Dune: Part Two,2024,8.5,"Action Epic, Desert Adventure, Epic",2 hours 46 minutes,https://www.imdb.com/title/tt15239678/?ref_=chttp_i_56,Denis Villeneuve
57,WALL·E,2008,8.4,"Adventure Epic, Artificial Intelligence, Computer Animation",1 hour 38 minutes,https://www.imdb.com/title/tt0910970/?ref_=chttp_i_57,Christopher Nolan
58,Memento,2000,8.4,"Psychological Thriller, Suspense Mystery, Mystery",1 hour 53 minutes,https://www.imdb.com/title/tt0209144/?ref_=chttp_i_58,Andrew Stanton
59,Raiders of the Lost Ark,1981,8.4,"Adventure Epic, Desert Adventure, Globetrotting Adventure",1 hour 55 minutes,https://www.imdb.com/title/tt0082971/?ref_=chttp_i_59,Steven Spielberg
60,The Lives of Others,2006,8.4,"Political Thriller, Psychological Drama, Spy",2 hours 17 minutes,https://www.imdb.com/title/tt0405094/?ref_=chttp_i_60,Florian Henckel von Donnersmarck
61,Avengers: Infinity War,2018,8.4,"Space Sci-Fi, Superhero, Action",2 hours 29 minutes,https://www.imdb.com/title/tt4154756/?ref_=chttp_i_61,Anthony Russo
62,Sunset Boulevard,1950,8.4,"Dark Comedy, Film Noir, Psychological Drama",1 hour 50 minutes,https://www.imdb.com/title/tt0043014/?ref_=chttp_i_62,Billy Wilder
63,Spider-Man: Into the Spider-Verse,2018,8.4,"Computer Animation, Superhero, Supernatural Fantasy",1 hour 57 minutes,https://www.imdb.com/title/tt4633694/?ref_=chttp_i_63,Bob Persichetti
64,Witness for the Prosecution,1957,8.4,"Legal Drama, Legal Thriller, Whodunnit",1 hour 56 minutes,https://www.imdb.com/title/tt0051201/?ref_=chttp_i_64,Stanley Kubrick
65,Paths of Glory,1957,8.4,"Epic, Psychological Drama, War Epic",1 hour 28 minutes,https://www.imdb.com/title/tt0050825/?ref_=chttp_i_65,Billy Wilder
66,The Shining,1980,8.4,"Psychological Drama, Psychological Horror, Supernatural Horror",2 hours 26 minutes,https://www.imdb.com/title/tt0081505/?ref_=chttp_i_66,Stanley Kubrick
67,The Great Dictator,1940,8.4,"Parody, Satire, Slapstick",2 hours 5 minutes,https://www.imdb.com/title/tt0032553/?ref_=chttp_i_67,Charles Chaplin
68,12th Fail,2023,8.8,"Docudrama, Biography, Drama",2 hours 27 minutes,https://www.imdb.com/title/tt23849204/?ref_=chttp_i_68,Vidhu Vinod Chopra
69,Aliens,1986,8.4,"Alien Invasion, Cyberpunk, Monster Horror",2 hours 17 minutes,https://www.imdb.com/title/tt0090605/?ref_=chttp_i_69,James Cameron
