Rank,Title,Year,Rating,Genre,Runtime,URL,Director
154,Prisoners,2013,8.2,"Psychological Thriller, Suspense Mystery, Crime",2 hours 33 minutes,https://www.imdb.com/title/tt1392214/?ref_=chttp_i_154,Denis Villeneuve
155,Yojimbo,1961,8.2,"One-Person Army Action, Period Drama, Samurai",1 hour 50 minutes,https://www.imdb.com/title/tt0055630/?ref_=chttp_i_155,Akira Kurosawa
156,Finding Nemo,2003,8.2,"Animal Adventure, Buddy Comedy, Computer Animation",1 hour 40 minutes,https://www.imdb.com/title/tt0266543/?ref_=chttp_i_156,Andrew Stanton
157,The Great Escape,1963,8.2,"Period Drama, Prison Drama, War Epic",2 hours 52 minutes,https://www.imdb.com/title/tt0057115/?ref_=chttp_i_157,John Sturges
158,Howl's Moving Castle,2004,8.2,"Adventure Epic, Anime, Hand-Drawn Animation",1 hour 59 minutes,https://www.imdb.com/title/tt0347149/?ref_=chttp_i_158,Hayao Miyazaki
159,Monty Python and the Holy Grail,1975,8.2,"Farce, Parody, Quest",1 hour 31 minutes,https://www.imdb.com/title/tt0071853/?ref_=chttp_i_159,Terry Gilliam
160,The Elephant Man,1980,8.2,"Docudrama, Period Drama, Tragedy",2 hours 4 minutes,https://www.imdb.com/title/tt0080678/?ref_=chttp_i_160,David Lynch
161,Dial M for Murder,1954,8.2,"Crime, Drama, Mystery",1 hour 45 minutes,https://www.imdb.com/title/tt0046912/?ref_=chttp_i_161,Alfred Hitchcock
162,Gone with the Wind,1939,8.2,"Costume Drama, Epic, Period Drama",3 hours 58 minutes,https://www.imdb.com/title/tt0031381/?ref_=chttp_i_162,Victor Fleming
163,Klaus,2019,8.2,"Hand-Drawn Animation, Holiday Animation, Holiday Comedy",1 hour 36 minutes,https://www.imdb.com/title/tt4729430/?ref_=chttp_i_163,Sergio Pablos
164,Rashomon,1950,8.2,"Period Drama, Crime, Drama",1 hour 28 minutes,https://www.imdb.com/title/tt0042876/?ref_=chttp_i_164,Akira Kurosawa
165,Chinatown,1974,8.1,"Conspiracy Thriller, Hard-boiled Detective, Psychological Drama",2 hours 10 minutes,https://www.imdb.com/title/tt0071315/?ref_=chttp_i_165,Roman Polanski
166,The Secret in Their Eyes,2009,8.2,"Dark Romance, Erotic Thriller, Legal Thriller",2 hours 9 minutes,https://www.imdb.com/title/tt1305806/?ref_=chttp_i_166,Juan José Campanella
167,"Lock, Stock and Two Smoking Barrels",1998,8.1,"Dark Comedy, Farce, Gangster",1 hour 47 minutes,https://www.imdb.com/title/tt0120735/?ref_=chttp_i_167,Guy Ritchie
168,V for Vendetta,2005,8.1,"Dystopian Sci-Fi, Political Thriller, Superhero",2 hours 12 minutes,https://www.imdb.com/title/tt0434409/?ref_=chttp_i_168,James McTeigue
169,Inside Out,2015,8.1,"Coming-of-Age, Computer Animation, Adventure",1 hour 35 minutes,https://www.imdb.com/title/tt2096673/?ref_=chttp_i_169,Pete Docter
170,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"Dark Comedy, Satire, Comedy",1 hour 55 minutes,https://www.imdb.com/title/tt5027774/?ref_=chttp_i_170,Martin McDonagh
171,The Bridge on the River Kwai,1957,8.1,"Jungle Adventure, War Epic, Adventure",2 hours 41 minutes,https://www.imdb.com/title/tt0050212/?ref_=chttp_i_171,David Lean
172,Trainspotting,1996,8.1,"Dark Comedy, Psychological Drama, Drama",1 hour 33 minutes,https://www.imdb.com/title/tt0117951/?ref_=chttp_i_172,Danny Boyle
173,Catch Me If You Can,2002,8.1,"Caper, Coming-of-Age, Docudrama",2 hours 21 minutes,https://www.imdb.com/title/tt0264464/?ref_=chttp_i_173,Steven Spielberg
174,Raging Bull,1980,8.1,"Boxing, Docudrama, Period Drama",2 hours 9 minutes,https://www.imdb.com/title/tt0081398/?ref_=chttp_i_174,Chris Sanders
175,The Wild Robot,2024,8.2,"Artificial Intelligence, Computer Animation, Survival",1 hour 42 minutes,https://www.imdb.com/title/tt29623480/?ref_=chttp_i_175,Martin Scorsese
176,Fargo,1996,8.1,"Cop Drama, Dark Comedy, Police Procedural",1 hour 38 minutes,https://www.imdb.com/title/tt0116282/?ref_=chttp_i_176,Joel Coen
177,Warrior,2011,8.1,"Boxing, Action, Drama",2 hours 20 minutes,https://www.imdb.com/title/tt1291584/?ref_=chttp_i_177,Gavin O'Connor
178,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"Dark Fantasy, Fantasy Epic, Teen Adventure",2 hours 10 minutes,https://www.imdb.com/title/tt1201607/?ref_=chttp_i_178,David Yates
179,Gran Torino,2008,8.1,Drama,1 hour 56 minutes,https://www.imdb.com/title/tt1205489/?ref_=chttp_i_179,Clint Eastwood
180,Million Dollar Baby,2004,8.1,"Boxing, Tragedy, Drama",2 hours 12 minutes,https://www.imdb.com/title/tt0405159/?ref_=chttp_i_180,Clint Eastwood
181,My Neighbor Totoro,1988,8.1,"Anime, Hand-Drawn Animation, Iyashikei",1 hour 26 minutes,https://www.imdb.com/title/tt0096283/?ref_=chttp_i_181,Hayao Miyazaki
182,Mad Max: Fury Road,2015,8.1,"Action Epic, Adventure Epic, Car Action",2 hours,https://www.imdb.com/title/tt1392190/?ref_=chttp_i_182,George Miller
183,Ben-Hur,1959,8.1,"Adventure Epic, Epic, Period Drama",3 hours 32 minutes,https://www.imdb.com/title/tt0052618/?ref_=chttp_i_183,William Wyler
184,Spider-Man: No Way Home,2021,8.2,"Superhero, Supernatural Fantasy, Urban Adventure",2 hours 28 minutes,https://www.imdb.com/title/tt10872600/?ref_=chttp_i_184,Jon Watts
185,Barry Lyndon,1975,8.1,"Costume Drama, Dark Comedy, Epic",3 hours 5 minutes,https://www.imdb.com/title/tt0072684/?ref_=chttp_i_185,Stanley Kubrick
186,Dead Poets Society,1989,8.1,"Coming-of-Age, Teen Drama, Comedy",2 hours 8 minutes,https://www.imdb.com/title/tt0097165/?ref_=chttp_i_186,Majid Majidi
187,Children of Heaven,1997,8.2,"Drama, Family, Sport",1 hour 29 minutes,https://www.imdb.com/title/tt0118849/?ref_=chttp_i_187,Peter Weir
188,12 Years a Slave,2013,8.1,"Costume Drama, Docudrama, Epic",2 hours 14 minutes,https://www.imdb.com/title/tt2024544/?ref_=chttp_i_188,Steve McQueen
189,Before Sunrise,1995,8.1,"Comedy, Drama, Romance",1 hour 41 minutes,https://www.imdb.com/title/tt0112471/?ref_=chttp_i_189,Richard Linklater
190,The Grand Budapest Hotel,2014,8.1,"Quirky Comedy, Comedy, Drama",1 hour 39 minutes,https://www.imdb.com/title/tt2278388/?ref_=chttp_i_190,Wes Anderson
191,Blade Runner,1982,8.1,"Artificial Intelligence, Cyber Thriller, Cyberpunk",1 hour 57 minutes,https://www.imdb.com/title/tt0083658/?ref_=chttp_i_191,Ridley Scott
192,Hacksaw Ridge,2016,8.1,"Docudrama, Epic, Period Drama",2 hours 19 minutes,https://www.imdb.com/title/tt2119532/?ref_=chttp_i_192,Mel Gibson
193,Gone Girl,2014,8.1,"Erotic Thriller, Psychological Drama, Psychological Thriller",2 hours 29 minutes,https://www.imdb.com/title/tt2267998/?ref_=chttp_i_193,David Fincher
194,Memories of Murder,2003,8.1,"Dark Comedy, Korean Drama, Police Procedural",2 hours 12 minutes,https://www.imdb.com/title/tt0353969/?ref_=chttp_i_194,Bong Joon Ho
195,Ratatouille,2007,8.1,"Animal Adventure, Computer Animation, Satire",1 hour 51 minutes,https://www.imdb.com/title/tt0382932/?ref_=chttp_i_195,Brad Bird
196,"Monsters, Inc.",2001,8.1,"Buddy Comedy, Computer Animation, Satire",1 hour 32 minutes,https://www.imdb.com/title/tt0198781/?ref_=chttp_i_196,Pete Docter
197,In the Name of the Father,1993,8.1,"Docudrama, Legal Drama, Period Drama",2 hours 13 minutes,https://www.imdb.com/title/tt0107207/?ref_=chttp_i_197,Jim Sheridan
198,How to Train Your Dragon,2010,8.1,"Computer Animation, Sword & Sorcery, Teen Fantasy",1 hour 38 minutes,https://www.imdb.com/title/tt0892769/?ref_=chttp_i_198,Charles Chaplin
199,The Gold Rush,1925,8.1,"Farce, Feel-Good Romance, Romantic Comedy",1 hour 35 minutes,https://www.imdb.com/title/tt0015864/?ref_=chttp_i_199,Dean DeBlois
200,Wild Tales,2014,8.1,"Dark Comedy, Comedy, Drama",2 hours 2 minutes,https://www.imdb.com/title/tt3011894/?ref_=chttp_i_200,Damián Szifron
201,Sherlock Jr.,1924,8.2,"Bumbling Detective, Farce, Feel-Good Romance",45 minutes,https://www.imdb.com/title/tt0015324/?ref_=chttp_i_201,Steven Spielberg
202,Jaws,1975,8.1,"Monster Horror, Sea Adventure, Survival",2 hours 4 minutes,https://www.imdb.com/title/tt0073195/?ref_=chttp_i_202,Buster Keaton
203,Mary and Max,2009,8.1,"Adult Animation, Coming-of-Age, Dark Comedy",1 hour 32 minutes,https://www.imdb.com/title/tt0978762/?ref_=chttp_i_203,Adam Elliot
204,The Deer Hunter,1978,8.1,"Epic, War Epic, Drama",3 hours 3 minutes,https://www.imdb.com/title/tt0077416/?ref_=chttp_i_204,Michael Cimino
205,Ford v Ferrari,2019,8.1,"Docudrama, Motorsport, Period Drama",2 hours 32 minutes,https://www.imdb.com/title/tt1950186/?ref_=chttp_i_205,James Mangold
206,The General,1926,8.1,"Farce, Slapstick, Action",1 hour 18 minutes,https://www.imdb.com/title/tt0017925/?ref_=chttp_i_206,Clyde Bruckman
207,The Wages of Fear,1953,8.1,"Psychological Drama, Survival, Adventure",2 hours 36 minutes,https://www.imdb.com/title/tt0046268/?ref_=chttp_i_207,Henri-Georges Clouzot
208,On the Waterfront,1954,8.1,"Legal Drama, Legal Thriller, Crime",1 hour 48 minutes,https://www.imdb.com/title/tt0047296/?ref_=chttp_i_208,Elia Kazan
209,Mr Smith Goes to Washington,1939,8.1,"Political Drama, Comedy, Drama",2 hours 9 minutes,https://www.imdb.com/title/tt0031679/?ref_=chttp_i_209,Frank Capra
210,Wild Strawberries,1957,8.1,"Psychological Drama, Drama, Romance",1 hour 32 minutes,https://www.imdb.com/title/tt0050986/?ref_=chttp_i_210,Walter Salles
211,Logan,2017,8.1,"Dystopian Sci-Fi, Road Trip, Superhero",2 hours 17 minutes,https://www.imdb.com/title/tt3315342/?ref_=chttp_i_211,Ingmar Bergman
212,Rocky,1976,8.1,"Boxing, Drama, Sport",2 hours,https://www.imdb.com/title/tt0075148/?ref_=chttp_i_212,James Mangold
213,I'm Still Here,2024,8.3,"Docudrama, Period Drama, Political Drama",2 hours 17 minutes,https://www.imdb.com/title/tt14961016/?ref_=chttp_i_213,John G. Avildsen
214,The Third Man,1949,8.1,"Film Noir, Hard-boiled Detective, Whodunnit",1 hour 44 minutes,https://www.imdb.com/title/tt0041959/?ref_=chttp_i_214,Carol Reed
215,Tokyo Story,1953,8.1,"Psychological Drama, Drama",2 hours 17 minutes,https://www.imdb.com/title/tt0046438/?ref_=chttp_i_215,Yasujirô Ozu
216,Spotlight,2015,8.1,"Docudrama, Legal Drama, Period Drama",2 hours 9 minutes,https://www.imdb.com/title/tt1895587/?ref_=chttp_i_216,Tom McCarthy
217,The Big Lebowski,1998,8.1,"Buddy Comedy, Drug Crime, Satire",1 hour 57 minutes,https://www.imdb.com/title/tt0118715/?ref_=chttp_i_217,Joel Coen
218,The Terminator,1984,8.1,"Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi",1 hour 47 minutes,https://www.imdb.com/title/tt0088247/?ref_=chttp_i_218,Nithilan Saminathan
219,Maharaja,2024,8.4,"One-Person Army Action, Action, Crime",2 hours 21 minutes,https://www.imdb.com/title/tt26548265/?ref_=chttp_i_219,James Cameron
220,The Seventh Seal,1957,8.1,"Psychological Drama, Drama, Fantasy",1 hour 36 minutes,https://www.imdb.com/title/tt0050976/?ref_=chttp_i_220,Ingmar Bergman
221,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"Sea Adventure, Supernatural Fantasy, Swashbuckler",2 hours 23 minutes,https://www.imdb.com/title/tt0325980/?ref_=chttp_i_221,Lenny Abrahamson
222,Room,2015,8.1,"Psychological Drama, Drama, Thriller",1 hour 58 minutes,https://www.imdb.com/title/tt3170832/?ref_=chttp_i_222,Gore Verbinski
223,La haine,1995,8.1,"Gangster, Psychological Drama, Crime",1 hour 38 minutes,https://www.imdb.com/title/tt0113247/?ref_=chttp_i_223,Mathieu Kassovitz
224,Jai Bhim,2021,8.7,"Legal Drama, Crime, Drama",2 hours 44 minutes,https://www.imdb.com/title/tt15097216/?ref_=chttp_i_224,T.J. Gnanavel
225,Hotel Rwanda,2004,8.1,"Docudrama, Epic, Biography",2 hours 1 minute,https://www.imdb.com/title/tt0395169/?ref_=chttp_i_225,Terry George
226,Platoon,1986,8.1,"Drama, War",2 hours,https://www.imdb.com/title/tt0091763/?ref_=chttp_i_226,Oliver Stone
227,Before Sunset,2004,8.1,"Feel-Good Romance, Drama, Romance",1 hour 20 minutes,https://www.imdb.com/title/tt0381681/?ref_=chttp_i_227,William Wyler
228,The Best Years of Our Lives,1946,8.1,"Epic, Feel-Good Romance, Drama",2 hours 50 minutes,https://www.imdb.com/title/tt0036868/?ref_=chttp_i_228,Richard Linklater
229,The Exorcist,1973,8.1,"Body Horror, Psychological Drama, Psychological Horror",2 hours 2 minutes,https://www.imdb.com/title/tt0070047/?ref_=chttp_i_229,Carl Theodor Dreyer
230,The Passion of Joan of Arc,1928,8.1,"Legal Drama, Period Drama, Psychological Drama",1 hour 54 minutes,https://www.imdb.com/title/tt0019254/?ref_=chttp_i_230,Victor Fleming
231,The Wizard of Oz,1939,8.1,"Adventure Epic, Classic Musical, Fairy Tale",1 hour 42 minutes,https://www.imdb.com/title/tt0032138/?ref_=chttp_i_231,Robert Wise
232,The Sound of Music,1965,8.1,"Classic Musical, Epic, Period Drama",2 hours 52 minutes,https://www.imdb.com/title/tt0059742/?ref_=chttp_i_232,Brad Bird
233,The Incredibles,2004,8.0,"Computer Animation, Superhero, Action",1 hour 55 minutes,https://www.imdb.com/title/tt0317705/?ref_=chttp_i_233,Lasse Hallström
234,Hachi: A Dog's Tale,2009,8.1,"Animal Adventure, Biography, Drama",1 hour 33 minutes,https://www.imdb.com/title/tt1028532/?ref_=chttp_i_234,Ron Howard
235,Rush,2013,8.1,"Docudrama, Motorsport, Period Drama",2 hours 3 minutes,https://www.imdb.com/title/tt1979320/?ref_=chttp_i_235,Rob Reiner
236,Stand by Me,1986,8.1,"Coming-of-Age, Dark Comedy, Quest",1 hour 29 minutes,https://www.imdb.com/title/tt0092005/?ref_=chttp_i_236,Çagan Irmak
237,My Father and My Son,2005,8.2,"Coming-of-Age, Political Drama, Drama",1 hour 52 minutes,https://www.imdb.com/title/tt0476735/?ref_=chttp_i_237,Sidney Lumet
238,Network,1976,8.1,"Dark Comedy, Workplace Drama, Drama",2 hours 1 minute,https://www.imdb.com/title/tt0074958/?ref_=chttp_i_238,Brad Bird
239,The Iron Giant,1999,8.1,"Alien Invasion, Artificial Intelligence, Hand-Drawn Animation",1 hour 26 minutes,https://www.imdb.com/title/tt0129167/?ref_=chttp_i_239,Park Chan-wook
241,Sinners,2025,8.2,"Period Drama, Supernatural Horror, Vampire Horror",2 hours 17 minutes,https://www.imdb.com/title/tt31193180/?ref_=chttp_i_241,Ernst Lubitsch
242,To Be or Not to Be,1942,8.1,"Screwball Comedy, Comedy, Romance",1 hour 39 minutes,https://www.imdb.com/title/tt0035446/?ref_=chttp_i_242,Gillo Pontecorvo
243,The Battle of Algiers,1966,8.1,"Docudrama, Political Drama, Drama",2 hours 1 minute,https://www.imdb.com/title/tt0058946/?ref_=chttp_i_243,Naoko Yamada
244,A Silent Voice: The Movie,2016,8.1,"Anime, Coming-of-Age, Psychological Drama",2 hours 10 minutes,https://www.imdb.com/title/tt5323662/?ref_=chttp_i_244,John Ford
245,The Grapes of Wrath,1940,8.1,"Period Drama, Tragedy, Drama",2 hours 9 minutes,https://www.imdb.com/title/tt0032551/?ref_=chttp_i_245,Sean Penn
246,Into the Wild,2007,8.0,"Coming-of-Age, Docudrama, Road Trip",2 hours 28 minutes,https://www.imdb.com/title/tt0758758/?ref_=chttp_i_246,Harold Ramis
247,Groundhog Day,1993,8.0,"Feel-Good Romance, High-Concept Comedy, Holiday Comedy",1 hour 41 minutes,https://www.imdb.com/title/tt0107048/?ref_=chttp_i_247,Tate Taylor
248,The Help,2011,8.1,"Period Drama, Drama",2 hours 26 minutes,https://www.imdb.com/title/tt1454029/?ref_=chttp_i_248,Alejandro G. Iñárritu
249,Amores Perros,2000,8.0,"Tragedy, Drama, Thriller",2 hours 34 minutes,https://www.imdb.com/title/tt0245712/?ref_=chttp_i_249,Alfred Hitchcock
250,Rebecca,1940,8.1,"Dark Romance, Psychological Drama, Psychological Thriller",2 hours 10 minutes,https://www.imdb.com/title/tt0032976/?ref_=chttp_i_250,Anurag Kashyap
